2026-02-02T11:14:21.929489,BTC-USD,BUY,78662.025,0.0012712614504902,0.0
2026-02-02T11:14:21.933440,ETH-USD,BUY,2342.71,0.0426856076936539,0.0
2026-02-02T11:14:21.937540,SOL-USD,BUY,104.165,0.9600153602457638,0.0
2026-02-02T11:14:21.940986,ADA-USD,BUY,0.29985,333.50008337502084,0.0
2026-02-02T11:14:21.944770,AVAX-USD,BUY,10.145,9.857072449482503,0.0
2026-02-02T11:14:21.949330,DOGE-USD,BUY,0.108395,922.5517782185524,0.0
2026-02-02T11:14:21.953874,MATIC-USD,BUY,0.1121,892.0606601248885,0.0
2026-02-02T11:14:21.958856,LTC-USD,BUY,60.11,1.6636167027116953,0.0
2026-02-02T11:14:21.964191,LINK-USD,BUY,9.85,10.152284263959393,0.0
2026-02-02T11:14:21.969772,SHIB-USD,BUY,6.885e-06,14524328.249818446,0.0
2026-02-03T01:50:32.683515,MATIC-USD,SELL,0.1171,892.0606601248885,4.4603033006244335
2026-02-03T01:51:11.970265,MATIC-USD,SELL,0.11695,892.0606601248885,4.326494201605703
2026-02-03T01:51:11.978361,LINK-USD,SELL,9.684,10.152284263959393,-1.6852791878172628
2026-02-03T01:54:25.666998,MATIC-USD,BUY,0.1166,857.6329331046312,0.0
2026-02-03T01:54:25.672439,LINK-USD,BUY,9.671,10.340192327577292,0.0
2026-02-03T02:55:32.540038,ETH-USD,SELL,2290.405,0.0426856076936539,-2.2326707104165617
2026-02-03T02:58:44.698559,ETH-USD,BUY,2290.84,0.0436521101430043,0.0
2026-02-04T13:16:21.101496,BTC-USD,SELL,73471.17,0.0012712614504902,-6.598933856584542
2026-02-04T13:16:21.109922,ETH-USD,SELL,2168.715,0.0436521101430043,-5.331013951214401
2026-02-04T13:16:21.124195,SOL-USD,SELL,93.735,0.9600153602457638,-10.012960207363324
2026-02-04T13:16:21.138204,ADA-USD,SELL,0.2905,333.50008337502084,-3.1182257795564534
2026-02-04T13:16:21.151990,AVAX-USD,SELL,9.865,9.857072449482503,-2.759980285855095
2026-02-04T13:16:21.165816,DOGE-USD,SELL,0.104495,922.5517782185524,-3.597951935052356
2026-02-04T13:16:21.180468,MATIC-USD,SELL,0.1089,857.6329331046312,-6.6037735849056585
2026-02-04T13:16:21.194485,LTC-USD,SELL,59.095,1.6636167027116953,-1.6885709532523714
2026-02-04T13:16:21.208600,LINK-USD,SELL,9.372,10.340192327577292,-3.091717505945605
2026-02-04T13:16:21.222719,SHIB-USD,SELL,6.695e-06,14524328.249818446,-2.7596223674655027
